wage,training,isMale,experience,education,isUrban,isAge50,motivation
1736.15,1,0,9.5,12.5,0,0,-0.1145
2543.43,1,0,8.9,12.7,1,1,-0.6411
1895.62,0,0,12.9,12.4,1,0,0.0011
2021.92,1,1,12.6,12.9,1,0,-0.8051
1216.63,0,0,2.7,11.1,1,0,-0.8954
2640.62,0,1,5.0,14.7,1,1,-1.2277
2558.11,1,1,8.5,16.1,0,1,-0.5331
2677.71,1,1,9.3,15.0,1,0,-0.773
3540.23,1,1,3.0,16.4,1,1,0.7031
2370.28,1,1,3.2,17.1,0,0,0.7864
1476.84,0,1,7.4,9.0,1,1,-0.1146
3060.91,1,1,12.5,13.9,1,0,0.0157
841.19,0,0,4.1,9.2,0,0,-2.833
2537.58,0,1,10.6,13.8,1,0,0.0375
2106.1,1,0,12.8,12.0,1,1,-0.3839
1726.23,1,1,6.2,13.4,0,0,-0.7452
3585.37,1,0,16.8,18.1,0,1,1.1013
2786.42,0,1,9.0,13.0,1,0,0.5344
3387.29,1,1,3.8,16.2,0,0,1.2121
2244.3,1,1,9.9,11.0,1,0,-0.1309
1836.56,0,0,11.1,12.8,1,0,-0.5388
2291.52,1,0,11.3,16.4,0,1,-0.5532
1859.04,1,0,12.8,8.9,1,1,-0.2035
3538.24,1,0,5.2,19.7,1,0,1.181
1884.26,0,0,6.0,11.7,1,0,-0.5654
1679.75,1,0,12.9,12.5,0,1,-0.8418
2130.49,0,1,20.8,14.0,1,0,-2.0858
2889.01,1,1,10.3,16.9,0,0,1.2523
3096.36,1,1,5.2,17.1,1,0,0.4506
2305.61,0,1,17.5,8.0,1,0,0.6128
2408.57,1,0,15.8,13.3,1,0,-0.3865
1683.44,1,0,5.5,14.1,0,0,0.7751
1643.37,0,0,13.1,15.7,1,1,-2.2661
2934.52,1,1,7.8,13.2,1,1,-0.1642
2053.48,1,0,16.5,10.0,1,1,0.3597
4336.87,1,1,11.1,19.4,1,0,0.0911
2132.58,0,1,4.4,17.6,0,1,-0.9049
2366.92,1,1,7.7,12.1,0,0,2.0578
1689.6,1,0,8.3,13.3,1,1,0.6724
4541.02,1,1,17.4,18.7,0,0,-0.2382
2314.35,0,1,15.2,13.1,1,0,-0.2087
1398.32,1,0,5.0,8.0,0,1,0.4349
2006.85,0,1,6.0,10.3,1,0,-0.0403
2333.79,0,0,8.7,15.1,1,0,1.6233
2612.01,0,0,12.3,13.0,1,0,0.4239
3478.66,1,1,12.2,15.9,0,1,0.5166
2496.39,1,1,10.3,11.6,1,1,0.0232
1607.35,1,1,1.5,12.9,1,1,-0.3267
2752.2,1,0,18.2,12.9,1,0,0.013
1973.24,1,1,9.0,10.7,0,0,0.7166
2927.57,1,1,16.1,14.9,1,1,1.0877
2948.92,0,0,12.7,15.4,1,0,-0.0636
2356.2,0,0,14.5,11.2,1,0,0.8418
2962.32,1,1,9.0,15.7,1,0,0.4384
3067.82,1,0,12.2,18.0,1,1,-0.2205
1824.67,1,1,10.9,8.0,1,0,-0.4977
1992.28,1,0,12.8,10.5,0,1,1.3898
3694.44,0,1,9.4,15.8,1,0,1.8686
2258.81,0,1,11.6,15.4,0,1,-0.6386
2733.75,1,0,8.5,14.6,1,0,1.5794
3290.77,1,0,18.9,15.4,0,0,0.8206
3183.37,1,0,19.2,17.0,0,0,0.3992
3202.67,1,1,15.9,12.5,1,0,0.6231
3161.91,1,1,11.5,15.4,0,0,1.6713
2548.92,1,1,6.6,9.9,1,1,0.4158
2617.41,1,1,8.7,16.2,0,0,1.0942
2431.3,1,1,8.2,15.4,1,0,-1.3755
4980.65,1,0,20.0,18.3,1,0,1.9422
1898.34,1,1,6.2,10.5,1,0,1.1277
4211.18,1,1,19.0,11.5,1,1,0.9573
2588.81,1,1,7.2,15.7,0,0,0.7534
3479.12,1,0,14.6,15.0,1,0,-0.1699
2231.24,1,0,6.0,13.8,0,1,1.5914
2799.61,0,1,16.3,12.9,1,0,0.9289
3993.86,0,0,8.1,19.2,1,1,1.3155
3066.2,0,1,11.9,16.7,1,0,-0.9764
1835.47,0,1,5.8,12.8,1,0,-0.6332
2625.14,1,1,4.7,14.3,0,0,0.8987
2216.52,0,1,1.8,17.3,0,0,1.3995
1988.58,0,0,4.7,13.3,1,1,-0.5871
2216.07,0,0,16.6,16.0,1,0,0.0584
2417.3,1,0,10.1,14.9,1,0,0.1029
3607.48,1,1,22.9,13.5,1,0,-0.6116
3506.98,0,1,9.9,14.6,1,0,1.3182
1577.48,1,0,0.0,12.4,1,1,0.0288
2413.11,1,1,10.9,14.9,0,0,0.3064
3532.35,1,0,10.8,16.1,0,0,1.0899
1106.07,0,0,0.0,11.4,1,0,-1.982
2237.68,1,1,9.5,10.0,1,1,0.1248
3868.39,1,1,11.0,18.2,1,0,0.4863
1580.04,0,1,8.9,10.8,1,1,-2.4353
2649.28,1,0,12.9,15.5,0,1,0.4567
2811.71,1,1,9.9,16.2,1,1,-0.6567
2214.32,1,0,10.1,12.4,1,1,-0.3188
2694.55,0,1,16.6,14.7,1,0,-1.483
4182.3,1,0,16.7,21.2,1,0,0.3202
2698.44,1,0,13.5,14.4,1,0,0.5101
2421.85,1,0,6.7,18.4,1,1,-1.7303
2060.74,1,1,1.9,13.8,0,0,-1.4363
1614.55,1,0,8.9,11.2,1,0,1.099
2391.74,0,1,18.1,9.4,1,1,-0.1776
2635.04,1,0,13.9,15.2,1,0,0.2975
2420.89,1,0,13.4,16.3,1,0,-0.3561
1402.62,1,0,0.7,9.8,1,0,0.1367
2185.99,0,0,14.2,18.3,0,0,-0.724
2456.34,0,1,18.6,12.8,1,0,-0.4248
3146.95,1,0,12.0,15.4,1,0,0.7588
3631.17,0,0,20.4,16.6,0,0,-0.2573
2709.25,1,0,18.3,16.5,1,0,-0.5187
1910.86,1,0,16.6,10.2,1,0,0.8579
2122.07,1,0,11.5,12.1,0,0,1.3451
3196.83,1,0,7.1,19.8,1,1,-1.5449
2581.88,1,1,18.3,14.1,0,1,0.1843
2306.67,1,1,5.0,11.0,1,1,1.337
3351.27,1,0,8.5,17.8,1,0,0.6787
2205.72,0,0,16.5,15.2,1,0,-0.1231
2236.53,1,0,16.0,11.3,1,0,1.0103
2998.13,1,1,18.6,13.0,1,1,0.308
2800.56,0,1,5.9,16.5,0,0,-0.5858
4870.83,1,1,12.2,19.5,1,0,0.1858
2488.38,0,1,11.0,10.0,1,0,-0.0028
2020.61,0,1,18.2,14.0,1,0,-0.3825
3450.09,1,1,20.1,13.9,0,0,-0.5642
3690.51,1,0,17.6,15.9,1,0,2.703
1748.15,1,0,0.0,15.8,0,0,-1.0733
2512.26,0,0,12.8,12.7,1,0,1.2921
2760.12,1,1,10.4,14.5,0,0,1.3925
3038.9,1,0,8.9,15.7,1,1,1.7159
2497.39,0,1,8.7,14.8,1,0,-0.6802
1958.63,1,1,0.0,15.8,0,0,0.3083
3107.9,1,0,12.6,18.0,1,1,-0.1835
1547.62,0,1,12.0,8.1,0,0,0.1984
2468.02,1,1,7.1,15.4,0,0,0.5704
1330.5,0,0,9.3,11.4,1,0,-1.6745
2297.42,1,1,11.0,9.2,1,1,1.0269
2399.22,1,0,18.7,10.6,1,0,0.5332
2159.69,1,0,14.3,13.0,0,1,0.0845
1828.78,1,1,16.9,12.4,0,0,-1.0363
1555.57,1,0,0.0,15.9,0,1,-0.541
1435.81,0,0,3.6,14.1,1,0,-1.4974
1932.13,1,0,10.0,15.3,1,0,0.139
3271.53,1,1,15.0,16.9,1,0,0.3827
1544.82,1,1,13.3,11.3,1,0,-0.3472
3473.94,1,1,8.9,16.6,0,1,2.4922
2162.89,0,0,5.1,12.8,0,0,1.5154
1729.22,0,0,7.2,9.3,1,0,0.3577
4189.89,1,1,13.5,18.6,0,0,0.9579
2602.84,1,0,15.2,17.0,0,0,1.3339
1537.88,1,0,9.7,11.4,1,0,-0.8712
1994.66,0,1,8.5,8.0,1,1,0.0377
1957.74,0,0,9.5,15.3,0,0,-0.7488
1595.02,1,0,10.2,11.6,0,0,-0.9512
1826.37,0,1,6.9,11.3,1,0,-0.2463
1629.56,0,0,10.4,12.0,0,0,-0.1902
2422.15,1,1,8.6,12.6,0,0,1.7222
3341.85,1,1,23.8,14.6,1,1,0.619
1984.43,1,0,12.0,10.3,0,0,0.8532
2942.44,0,0,4.8,22.0,0,0,0.7331
2752.41,1,1,7.5,13.0,1,1,0.9065
2246.39,1,1,6.1,16.9,0,1,-0.3623
3978.42,1,0,9.0,18.6,1,0,1.8189
1562.41,1,0,9.9,9.4,0,0,0.3646
2220.04,1,1,7.5,12.3,0,0,0.4158
2072.98,0,1,7.2,17.3,0,0,0.1395
1401.53,0,0,10.2,8.3,0,0,-0.3653
2776.43,0,1,3.3,16.6,1,0,0.1934
2221.99,1,0,12.1,14.7,0,1,1.3281
1777.41,0,0,6.8,18.7,1,0,-1.7524
2160.46,0,0,14.8,13.3,1,1,-0.861
2744.58,1,1,5.1,13.3,1,0,-0.4823
1755.09,0,1,8.9,12.6,0,0,1.041
1708.49,0,0,13.7,12.2,0,0,0.8544
2329.49,1,0,7.4,15.2,0,0,0.3065
2750.03,1,0,14.8,15.4,1,0,1.5303
3267.17,1,0,23.0,17.1,0,1,0.3667
2238.91,1,1,9.2,12.6,1,1,-0.8907
2062.46,1,1,15.7,14.6,0,1,0.0254
3241.77,1,1,11.1,14.9,1,0,-0.3578
3007.1,1,1,17.1,14.7,0,1,0.8984
2792.14,1,0,7.8,16.6,1,0,-0.0548
2692.73,1,1,13.4,15.7,0,1,-1.2331
3691.56,1,1,12.1,17.7,1,1,0.8767
2276.51,1,1,6.6,12.9,1,0,0.32
2857.92,0,1,9.0,13.7,1,0,1.4164
2172.02,0,1,8.5,16.1,0,1,0.1071
2193.4,1,0,13.2,15.1,1,1,0.2788
1563.94,0,0,2.2,16.0,1,0,-0.4889
3709.1,1,1,19.3,14.4,0,0,1.4419
2373.83,1,1,8.0,13.1,1,1,0.1667
2949.17,1,0,13.2,16.7,0,0,-0.2307
1957.23,0,0,0.0,15.2,1,0,1.1623
3003.14,0,1,5.1,17.8,1,0,-0.6309
2736.79,1,1,6.9,16.9,1,0,-0.8109
3809.97,0,0,18.0,15.8,1,1,1.2786
2539.68,1,1,11.4,17.2,1,1,-0.2306
2601.35,1,1,1.0,15.7,1,1,-1.1433
2945.41,1,1,14.3,14.6,1,0,-0.448
2175.64,1,0,9.1,12.2,0,0,1.2446
1827.74,0,0,10.7,16.2,0,1,0.6916
2395.1,0,0,10.1,13.6,0,0,-1.271
3727.71,1,0,17.8,16.1,0,0,1.7848
2277.13,0,0,4.5,14.1,0,1,1.9003
2164.48,0,0,9.3,14.1,0,0,0.7345
1982.05,0,1,13.6,10.4,1,0,0.524
2005.89,1,1,8.8,16.3,0,0,-1.2174
1505.82,1,0,9.9,8.0,0,0,-2.1537
2865.8,1,1,15.0,17.2,1,0,0.1029
2923.84,1,1,7.0,14.8,0,1,2.4974
1763.56,1,0,11.3,14.0,0,1,1.6749
1646.33,0,0,11.4,10.4,0,0,1.8922
3280.13,1,1,16.4,14.5,1,0,-0.0453
3232.13,1,0,8.4,20.3,0,0,-0.2724
1644.6,0,0,17.3,13.1,1,0,-1.4384
2649.59,1,0,19.6,16.7,1,1,-0.3973
2657.25,1,1,7.0,10.9,0,0,0.5374
2981.89,1,0,8.6,18.0,0,1,1.3701
1614.3,0,0,4.5,14.8,0,1,0.3817
3012.13,1,1,13.2,14.1,1,0,0.9104
3032.13,1,0,8.1,14.6,0,0,0.3755
3115.34,1,0,14.8,17.4,1,0,-0.7459
1776.73,0,0,14.3,13.3,0,0,-1.3538
4892.73,0,1,16.1,16.0,1,0,2.0359
1843.23,1,0,9.9,11.9,0,0,0.3604
1948.21,0,1,4.5,16.1,0,0,-1.9049
2833.24,1,0,14.5,11.2,1,0,1.6723
3234.09,1,1,16.3,17.5,0,0,0.0438
2195.7,1,0,5.8,18.2,0,0,-0.4258
1546.33,0,0,9.4,11.7,0,0,-0.0292
2328.89,1,0,10.0,16.3,0,0,1.9529
3200.54,1,0,13.6,14.3,1,1,0.8423
2116.3,1,1,11.7,12.9,1,0,0.8194
2543.6,1,0,12.0,10.7,1,0,0.5793
4717.77,1,1,15.9,16.3,1,0,0.8762
1457.57,0,1,5.1,8.0,1,0,1.3061
2912.11,1,1,0.0,18.2,1,0,-2.178
1623.84,0,0,13.6,10.4,1,0,-1.2092
1239.12,0,0,0.0,11.0,1,0,0.1493
1820.04,1,1,7.4,12.9,1,0,-0.6281
3031.79,1,1,8.7,17.1,0,0,-0.0231
2824.7,1,0,14.3,12.9,1,0,0.1613
3585.31,0,1,12.5,18.4,0,0,-1.0361
3009.48,1,1,14.6,13.4,1,1,-0.9182
2131.91,0,0,4.0,15.4,1,0,-0.5523
1332.38,0,0,9.4,8.0,1,1,-0.361
1720.52,0,0,3.1,9.4,0,0,0.976
3825.3,1,1,9.2,15.5,1,0,0.6879
2511.58,1,0,16.6,11.8,1,0,1.1359
2502.69,1,0,13.9,15.3,0,0,0.1676
2818.9,1,1,0.0,16.6,0,1,1.0985
1980.11,1,1,16.6,12.4,1,0,-0.7166
1610.44,1,0,4.5,14.7,1,1,0.1434
2372.33,1,1,12.5,15.5,1,0,0.0063
2000.99,1,0,2.8,15.4,1,1,-0.779
2219.74,1,0,3.9,14.0,1,0,0.4756
3314.37,1,1,6.9,17.8,1,1,0.8672
3173.28,0,1,20.3,17.2,0,0,-1.7472
1862.42,1,0,6.3,13.8,1,0,-0.6355
2976.12,1,0,15.5,14.2,1,1,1.1993
3837.97,1,1,4.3,15.0,1,0,1.268
1815.36,0,1,12.8,10.6,1,0,-0.6039
1438.95,1,0,3.3,12.2,1,0,-1.2681
1772.21,1,0,3.7,14.1,0,0,0.9721
1372.54,0,0,5.9,12.6,1,0,-2.4037
2599.23,1,1,18.1,11.5,1,1,1.0918
2167.08,1,1,12.0,8.0,1,0,0.6859
1448.14,0,1,13.7,12.2,1,0,-1.3046
2039.45,0,1,10.4,10.2,0,0,-0.6443
1900.09,0,1,9.1,12.3,1,0,0.5981
2402.41,0,1,5.1,16.9,1,0,-0.092
3423.47,1,1,14.1,15.6,0,0,0.9703
2268.63,1,0,20.8,13.8,0,0,-1.319
1609.78,0,1,7.0,9.5,1,1,-2.3843
1816.51,1,0,11.4,12.8,1,0,-0.9984
2155.17,0,1,4.4,15.7,1,0,-0.3582
2427.17,1,1,3.1,13.1,1,0,-0.4876
2073.99,0,1,12.4,13.1,1,0,-2.5535
2777.72,1,0,12.7,17.7,0,1,2.1053
4727.11,1,1,15.5,20.0,0,0,0.2396
1594.76,1,0,2.4,9.2,1,0,0.1799
2880.13,1,1,7.2,16.3,1,0,-0.162
2454.71,0,1,10.4,15.9,1,0,-1.4268
3063.49,1,0,5.2,18.4,1,0,0.6842
4160.39,1,0,10.1,15.8,1,0,0.6591
2264.76,1,1,10.6,11.8,1,0,-0.3788
3016.38,1,1,8.5,17.2,1,0,0.0757
1636.65,0,1,6.5,10.1,1,0,-2.1944
3681.4,1,1,12.8,14.8,1,0,0.7224
2778.82,0,0,14.6,13.2,1,0,1.1861
3352.14,1,1,8.7,12.2,1,0,2.3378
1903.2,0,1,11.3,13.7,0,1,-0.2218
2144.2,1,0,6.2,14.3,1,0,1.3367
1349.95,0,1,15.9,12.2,0,0,-1.3209
2326.4,1,1,0.8,18.6,0,1,-0.4164
1660.48,0,1,13.2,8.1,0,1,-0.0799
1637.41,0,0,12.5,9.4,1,0,-0.7181
3287.51,1,0,17.1,15.3,1,0,-0.3441
3412.02,1,0,13.7,17.3,1,0,0.1796
4909.4,1,1,12.6,22.0,1,1,0.0932
2440.58,1,1,6.0,11.0,1,0,1.0067
2342.24,0,0,9.0,13.4,0,0,-0.5474
1595.2,1,0,7.8,13.7,1,0,-0.0611
1633.99,1,0,6.2,12.2,1,1,-1.7428
2110.56,1,1,10.8,11.9,1,1,0.1514
2979.16,1,1,10.3,16.2,1,0,1.3227
1655.71,0,1,10.8,8.4,1,0,-0.1137
3201.84,1,1,0.6,18.5,1,1,1.2213
1748.87,0,1,8.9,12.7,1,0,-0.4339
2597.15,1,1,7.9,16.1,1,0,0.8715
1209.98,0,0,7.0,8.0,1,0,-1.9047
3095.09,0,1,15.4,19.9,1,0,-0.7717
1511.23,0,0,2.6,15.3,0,0,-1.0079
1793.5,1,0,4.4,12.5,1,0,0.2686
2564.89,1,0,11.6,15.7,1,1,-0.5969
1910.34,1,0,7.6,13.8,0,0,-0.9787
3076.91,0,1,13.1,17.5,0,0,-0.8209
4090.87,1,1,20.3,18.2,1,1,0.5559
3700.91,1,0,2.4,19.7,1,0,0.7382
2821.68,1,0,15.0,19.2,1,0,0.0636
1573.74,0,1,0.0,8.3,1,0,-0.2656
1904.08,0,1,7.2,9.6,1,1,0.5062
3646.57,1,1,10.3,16.8,1,0,-0.1684
1444.55,0,0,5.5,12.2,1,0,0.447
2228.15,1,0,8.0,16.2,0,1,-1.3028
2225.3,0,0,10.6,17.0,1,1,0.2724
1715.76,0,0,9.6,15.6,1,0,-1.5125
3940.89,1,0,14.7,21.3,1,1,2.0847
3201.9,1,0,9.1,14.7,1,0,3.0983
2704.35,1,1,12.2,9.7,0,1,0.4283
2800.71,1,1,1.9,18.4,1,0,-1.5065
1524.61,0,0,7.1,11.4,0,1,-0.6076
2347.13,0,0,7.9,15.2,0,0,0.5057
2360.14,1,1,9.3,14.8,0,0,0.1072
3755.59,1,1,14.1,15.8,0,0,-0.1437
1964.06,1,0,6.8,15.0,0,0,0.451
1820.16,0,0,6.2,15.1,1,0,-0.9014
1891.48,1,1,6.9,10.7,1,0,-0.4033
2460.26,1,1,4.1,17.3,0,1,0.1168
2276.63,1,0,9.7,12.2,1,1,2.6379
1610.2,0,0,12.6,12.6,0,0,-0.3863
2419.52,1,1,14.7,11.7,1,0,-0.0198
1422.53,1,0,5.4,10.3,0,1,-1.4509
1969.34,1,0,9.5,14.7,0,0,2.0682
2890.06,1,0,10.1,14.1,1,0,0.1478
1858.91,1,1,0.0,13.8,1,1,-0.3652
1564.9,0,0,2.0,12.4,1,0,0.0344
2563.13,1,1,3.1,15.6,1,1,-1.0819
2301.26,1,0,13.5,14.3,1,0,-0.0587
2207.01,1,0,5.0,17.2,0,0,-0.8506
1846.03,0,0,4.7,13.5,1,0,0.3115
2090.1,1,0,10.6,12.2,1,1,0.5403
1838.13,1,0,10.1,16.7,0,0,-0.9926
1887.16,0,0,8.8,13.5,0,0,0.7509
2213.25,0,0,6.1,12.4,0,0,-0.6681
2580.92,1,1,9.4,15.5,1,0,0.8096
2712.69,1,1,11.4,16.3,0,1,0.6078
1720.62,1,0,1.2,16.8,1,1,-1.3582
2510.18,1,1,0.0,16.6,1,0,-0.1196
1276.38,0,0,12.3,10.9,0,1,-0.6317
1735.56,0,0,6.3,16.0,0,0,-1.0455
3153.6,1,1,10.9,16.8,1,0,0.083
2167.76,0,1,9.9,14.4,0,1,-0.3054
3132.42,1,1,10.1,17.3,1,0,1.184
2965.63,1,1,12.1,13.8,0,1,-0.0911
2265.95,0,1,11.4,11.1,1,0,-0.7781
1752.12,1,1,6.8,9.9,1,0,-0.0166
2455.5,1,1,7.1,12.1,0,1,0.1885
2276.34,1,1,9.8,11.1,1,0,0.302
2755.87,0,0,19.0,15.3,0,0,-0.6052
1779.66,1,1,8.9,12.8,0,0,-0.207
2042.07,0,1,6.4,10.6,1,0,-0.4836
2937.39,1,0,19.4,13.8,1,0,0.7979
1936.88,1,0,6.6,12.6,1,0,1.0821
1695.0,0,0,10.6,11.2,1,1,-0.8758
3908.24,1,1,5.3,14.3,1,1,2.1786
1826.73,1,0,8.3,12.0,1,0,-0.0679
1477.49,1,1,6.8,10.1,0,0,-0.1691
1708.88,0,0,13.0,11.2,1,0,-0.1578
2039.66,1,0,10.4,12.9,1,0,0.2952
4672.4,1,1,17.4,21.9,0,1,0.6939
1658.72,0,0,5.8,11.2,0,0,0.082
3779.33,0,1,22.0,16.5,0,1,-0.2053
3240.18,1,1,16.8,14.2,1,0,1.0216
1791.03,0,0,15.1,12.1,0,0,-0.6287
3054.91,0,0,14.6,16.0,1,0,0.2988
2233.37,0,0,9.3,13.4,1,0,0.0723
1745.19,1,1,1.2,9.4,1,0,0.698
3247.63,1,0,14.4,14.3,1,0,-0.8015
2201.04,1,0,8.6,16.5,1,0,-0.5181
2178.25,1,0,5.9,14.4,1,0,1.2727
2512.53,1,0,15.0,14.9,0,0,0.9757
3659.64,1,1,13.3,19.4,1,0,1.0228
1779.82,0,1,6.3,11.6,1,1,-0.9786
5674.88,1,1,14.2,16.3,1,0,0.8372
3582.41,0,1,23.2,14.1,1,0,-1.426
1449.1,0,0,3.0,14.8,1,0,0.185
1868.47,0,1,7.2,10.2,1,0,-0.2748
2850.26,0,1,9.1,18.9,1,0,-0.5125
3076.96,1,1,12.7,15.9,1,0,-1.0472
3011.25,1,0,14.2,15.6,1,0,-0.8125
1400.82,0,0,0.1,12.5,0,0,-0.4766
2357.15,1,0,4.2,18.6,1,0,-1.2628
3903.16,1,0,1.2,19.1,1,1,1.1969
2950.18,0,1,7.3,16.1,0,0,-0.3212
2008.2,0,1,12.8,13.6,0,0,1.083
1480.97,1,0,12.1,12.5,1,0,-1.6178
1800.18,1,0,13.5,8.0,1,0,-0.7618
2444.6,1,0,12.1,17.6,0,0,-0.0459
2618.5,1,0,13.2,16.7,1,0,-0.0092
2114.61,0,0,14.4,12.1,1,0,-1.7982
2817.02,0,0,8.5,13.2,1,1,1.5403
1558.33,1,0,9.9,11.2,1,0,-0.7115
2341.16,1,0,10.3,10.9,1,0,-0.9801
1781.63,1,0,7.8,11.5,0,0,1.0921
3347.84,1,1,12.0,18.4,1,0,-0.9982
1875.16,1,0,12.4,12.7,1,0,0.5188
2125.33,1,0,4.3,19.0,0,0,0.6446
1873.62,0,0,8.7,11.9,1,1,1.0842
2572.24,1,0,2.8,16.0,0,1,2.9357
2879.97,1,1,11.5,10.5,1,1,-0.5913
2929.05,1,1,9.2,17.1,0,0,0.9839
2172.41,0,1,13.9,13.4,0,0,-1.1997
1833.76,0,1,3.3,11.2,1,0,0.0368
1642.95,0,1,10.3,10.8,1,0,-1.2396
1548.66,0,0,18.6,9.7,0,0,-1.4785
2194.44,0,1,8.5,15.7,1,0,-1.0764
2389.3,1,0,15.5,12.4,1,1,-0.9421
1922.41,1,0,6.3,16.7,0,1,-0.8357
1998.99,1,0,15.7,8.2,1,1,-0.0867
2299.51,0,1,9.6,13.9,0,1,-0.8563
2749.11,1,0,16.2,13.4,0,0,-0.0263
1775.67,0,0,11.1,11.1,1,0,-0.3104
3088.17,0,1,9.0,18.1,1,0,0.2105
1543.61,1,0,7.9,10.6,1,1,1.5889
1443.96,1,0,12.5,9.6,0,1,-0.3295
2328.09,0,1,14.0,12.8,0,0,0.9199
4207.87,1,1,5.9,20.0,1,0,-0.2848
3254.61,0,1,15.4,19.1,0,1,-1.8734
1967.3,1,0,12.2,12.8,0,0,-1.4788
3330.55,1,1,2.1,20.1,0,1,1.2908
2269.28,0,0,11.7,17.7,0,1,-0.6011
2945.26,0,1,14.0,14.6,1,0,0.9639
2636.1,1,0,9.2,19.2,0,1,-0.3745
2748.6,1,1,10.0,11.4,1,0,1.1189
